STP_pw_party_civil_workshops_desc	Before the war, coastal revenue sustained a substantial part of the state apparatus. We will restore civilian enterprises and allow the houses to resume servicing ports and resorts. These funds can no longer be promised to defence plants at the same time.
STP_pw_party_accountable_arsenals	War Orders instead of the Season
STP_pw_party_accountable_arsenals_desc	We will postpone the return of the holiday season: materials, workers and new capacity will go to defence enterprises. The army will grow stronger sooner, but the civilian economy will have to wait.
STP_pw_party_industrial_settlement	The Post-war Production Plan
STP_pw_party_industrial_settlement_desc	Commercial reconstruction or the defence combine has already determined the economy's priority. We will now bring taxation, capital expenditure and production plans together in a normal post-war budget. The differences between the two models remain; this shared focus merely ends emergency administration.
STP_pw_party_army_register	Take Stock of the Internal Forces
STP_pw_party_army_register_desc	The internal troops won the struggle for government, but their departmental rolls are no basis for a regular army. We will count the units and open a paid re-equipment programme: weapons, support equipment and trucks will enter the common army stockpile.
STP_pw_party_officer_school	A Headquarters, Not a Commandant's Office
STP_pw_party_officer_school_desc	Commanders were trained to guard buildings and suppress unrest. Now they must prepare operations involving several formations, work with maps and maintain communications with neighbouring units.
STP_pw_party_supply_service	Supply the Border Units
STP_pw_party_supply_service_desc	We will make logistics the organising principle of the new army. Permanent depots and unified accounting will replace departmental allocations, while border units receive priority according to actual need. This course leads to district defence corps and rules out reliance on an independent field headquarters.
STP_pw_party_professional_service	An Army beyond the Capital
STP_pw_party_professional_service_desc	We will make field service the organising principle of the new army. The internal troops will adopt a common programme of manoeuvres, joint exercises and commander training for multi-formation operations. This course leads to a field general staff and rules out deep specialisation in district logistics.
STP_pw_party_settled_state	End Emergency Rule
STP_pw_party_settled_state_desc	Emergency rule can end only after four questions have been settled: how Party authority is organised, how the economy earns its revenue, what kind of army the country maintains, and on what terms it exists alongside Nodrul. Unfinished purges will then cease, and the presidium will take responsibility for the state's ordinary life.
STP_pw_party_district_congress	Congress of District Secretariats
STP_pw_party_district_congress_desc	Compromise must become an institution rather than a series of personal promises. The district secretariats will receive a regular congress and the right to coordinate some economic decisions in advance. The centre loses a little operational freedom, but gains predictable execution, a tax base and fewer reasons to govern through emergency commissions again.
STP_pw_party_executive_secretariat	Executive Secretariat
STP_pw_party_executive_secretariat_desc	A single chain of orders needs a body that checks compliance every day. The executive secretariat will bring appointments, reporting and departmental oversight into one administration. Decisions will cost the centre less and move faster politically, but constant pressure on the districts will leave its mark on internal stability.
STP_pw_party_commercial_recovery	Reopen the Coastal Economy
